Alpha-3 code	Cancer code	Population code (ISO/UN)	Country	Label	Sex	Number	95% UI low	95% UI high	Number	ASR (World)	Crude rate	Cumulative risk
FRA	23	250	250	France (metropolitan)	2	3185	2857	3551	3185	6.6	9.4	0.65
FIN	23	246	246	Finland	2	179	152	211	179	4.6	6.4	0.43
FJI	23	242	242	Fiji	2	165	91	301	165	35.0	36.7	3.3
ETH	23	231	231	Ethiopia	2	8168	7808	8544	8168	22.3	13.5	2.5
SWZ	23	748	748	Eswatini	2	417	343	506	417	95.9	69.4	9.6
EST	23	233	233	Estonia	2	121	94	155	121	11.8	17.4	1.2
ERI	23	232	232	Eritrea	2	196	151	255	196	16.4	10.7	1.9
GNQ	23	226	226	Equatorial Guinea	2	127	100	162	127	33.2	19.1	3.5
SLV	23	222	222	El Salvador	2	627	421	933	627	15.2	18.0	1.5
EGY	23	818	818	Egypt	2	1302	1153	1470	1302	2.8	2.5	0.31
ECU	23	218	218	Ecuador	2	1792	1426	2252	1792	17.7	19.8	1.8
DOM	23	214	214	Dominican Republic	2	967	735	1273	967	15.6	17.5	1.6
DJI	23	262	262	Djibouti	2	71	49	102	71	16.5	14.7	1.9
DNK	23	208	208	Denmark	2	373	318	438	373	9.7	12.7	0.89
CIV	23	384	384	Côte d'Ivoire	2	2360	2166	2571	2360	32.0	17.1	3.5
CZE	23	203	203	Czechia	2	658	581	745	658	8.0	12.1	0.79
CYP	23	196	196	Cyprus	2	62	44	88	62	7.0	10.1	0.67
CUB	23	192	192	Cuba	2	1122	846	1489	1122	12.8	19.7	1.3
HRV	23	191	191	Croatia	2	272	222	334	272	8.3	13.0	0.82
CRI	23	188	188	Costa Rica	2	341	314	370	341	10.6	13.1	0.97
COG	23	178	178	Congo, Republic of	2	397	327	482	397	22.3	13.7	2.6
COD	23	180	180	Congo, Democratic Republic of	2	8705	5447	13912	8705	32.9	18.3	3.7
COM	23	174	174	Comoros	2	163	151	176	163	52.0	36.3	5.4
COL	23	170	170	Colombia	2	4570	3810	5481	4570	13.7	17.4	1.4
CHN	23	156	160	China	2	150659	145476	156027	150659	13.8	21.8	1.5
CHL	23	152	152	Chile	2	1559	1146	2120	1559	11.3	16.0	1.1
TCD	23	148	148	Chad	2	1111	1037	1190	1111	23.5	12.7	2.5
CAF	23	140	140	Central African Republic	2	295	219	398	295	21.8	11.7	2.5
CPV	23	132	132	Cape Verde	2	46	34	62	46	16.1	16.3	1.7
CAN	23	124	124	Canada	2	1730	1499	1996	1730	6.6	9.0	0.62
CMR	23	120	120	Cameroon	2	2525	1854	3439	2525	33.1	18.1	3.7
KHM	23	116	116	Cambodia	2	1274	1144	1419	1274	15.2	14.5	1.7
BDI	23	108	108	Burundi	2	1457	1117	1901	1457	43.6	22.9	4.7
BFA	23	854	854	Burkina Faso	2	988	974	1002	988	15.9	8.9	2.0
BGR	23	100	100	Bulgaria	2	877	770	1000	877	15.4	24.9	1.6
BRN	23	96	96	Brunei Darussalam	2	53	32	87	53	20.0	24.7	2.0
BRA	23	76	76	Brazil	2	18715	17167	20403	18715	12.7	17.1	1.4
BWA	23	72	72	Botswana	2	454	374	551	454	39.1	36.1	4.0
BIH	23	70	70	Bosnia Herzegovina	2	263	212	326	263	12.3	15.9	1.1
BOL	23	68	68	Bolivia (Plurinational State of)	2	2213	1696	2887	2213	38.7	37.0	3.9
BTN	23	64	64	Bhutan	2	49	49	49	49	13.6	13.3	1.4
BEN	23	204	204	Benin	2	701	592	831	701	18.1	11.0	2.2
